Template ID,,,,,,,,,,
Provider ID,,,,,,,,,,
Name,New Home,,,,,,,,,
Description,Standard template for new residential construction,,,,,,,,,
Tags,New; Whole House,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
MSID,Milestone,CPID,Milestone Checkpoint,Original MS Estimate,POINTS,ASSESSMENT TYPE,,,,
0,Builder supervision,0,Recurring checkpoint every draw,50000,,Numerical,,,,
1,Contractor fee (profit & overhead),0,Recurring checkpoint every draw,72300,,Numerical,,,,
2,General and Admin,0,Down payment ,10500,,Boolean,,,,
2,General and Admin,1,Start-up or working capital draw,,,Boolean,,,,
2,General and Admin,2,Overall project contingency/safety,,,Boolean,,,,
2,General and Admin,3,Equipment rental and small tool purchases,,,Boolean,,,,
2,General and Admin,4,Debris removal and dump fees run 1,,,Boolean,,,,
2,General and Admin,5,Debris removal and dump fees run 2,,,Boolean,,,,
2,General and Admin,6,Debris removal and dump fees run 3,,,Boolean,,,,
2,General and Admin,7,Clean up labor,,,Boolean,,,,
2,General and Admin,9,"Storage containers, office trailer, Temp chemical toilets",,,Boolean,,,,
3,Project Documentation,0,Approved plans and survey of property ( if needed ),,,Boolean,,,,
3,Project Documentation,1,"Structural engineering, soils testing",,,Boolean,,,,
3,Project Documentation,2,"Flood, earthquake, and other insurance confirmation ( if needed)",,,Boolean,,,,
3,Project Documentation,3,Confirm building permit(s) and zoning approval,,,Boolean,,,,
4,Client Documentation,0,Approved window and door schedule,,,Boolean,,,,
4,Client Documentation,1,"Confirm appliances, fixtures, trim, paint colors",,,Boolean,,,,
5,Demolition,0,Pre demolition #1,30000,1,Boolean,,,,
5,Demolition,1,Disconnect and cap off of existing utilities #1,,8,Numerical,,,,
5,Demolition,2,Post demolition #1,,34,Numerical,,,,
5,Demolition,3,Unforseen findings #1,,1,Numerical,,,,
6,Site preparation,1,Tree & shrub removal,3500,34,Numerical,,8,#DIV/0!,#DIV/0!
7,Forms/Foundation,0,"Forms, Steel, anchor bolts, hold down bolts",20000,34,Numerical,,,,
7,Forms/Foundation,1,Slab prep,,21,Numerical,,,,
7,Forms/Foundation,2,Code inspection - foundation or slab,,13,Boolean,,,,
7,Forms/Foundation,3,"Confirm correct concrete mix ratios, aggregate, and PSI via receipt",,2,Boolean,,,,
7,Forms/Foundation,4,Place foundation concrete,,34,Numerical,,,,
7,Forms/Foundation,5,Concrete finish,,21,Numerical,,,,
7,Forms/Foundation,6,"Backfilling, waterproofing, and drainage",,34,Numerical,,,,
8,Structural steel,0,Installation review,,34,Numerical,,,,
8,Structural steel,1,Code inspection - Structural steel,,8,Boolean,,,,
9,Framing,0,Framing materials on site 1st drop,50000,8,Boolean,,,,
9,Framing,1,Framing materials on site 2nd drop,,8,Boolean,,,,
9,Framing,2,Framing materials on site 3rd drop,,8,Boolean,,,,
9,Framing,3,Subfloor framing,,34,Numerical,,,,
9,Framing,4,Code inspection - Subfloor framing,,13,Boolean,,,,
9,Framing,5,First floor framing,,34,Numerical,,,,
9,Framing,6,Second floor framing,,34,Numerical,,,,
9,Framing,7,Install ceiling joists and roof framing or trusses,,34,Numerical,,,,
9,Framing,8,Install roof sheathing,,21,Numerical,,,,
9,Framing,9,Install exterior sheathing,,21,Numerical,,,,
9,Framing,10,Install any required interior shear wall sheathing,,13,Numerical,,,,
9,Framing,11,Exterior trim & siding,,34,Numerical,,,,
9,Framing,12,Miscellaneous,,8,Numerical,,,,
9,Framing,13,Code inspection - Framing,,13,Boolean,,,,
10,Scaffolding,0,Provide and erect scaffolding,15000,34,Boolean,,,,
17,Roofing ,0,Roofing material on site,57000,8,Boolean,,,,
17,Roofing ,1,Flashing installation,,21,Numerical,,,,
17,Roofing ,2,Code inspection - in progress,,13,Boolean,,,,
17,Roofing ,3,Installation review,,34,Numerical,,,,
21,Exterior (siding/stucco),0,Exterior trim install,32000,21,Numerical,,,,
21,Exterior (siding/stucco),1,"Substrate (building paper, lath, etc.)",,34,Numerical,,,,
21,Exterior (siding/stucco),2,Code inspection,,13,Boolean,,,,
21,Exterior (siding/stucco),3,Installation review,,34,Numerical,,,,
23,Gutter,0,Installation review,3800,21,Numerical,,,,
36,Flat work,0,"Garage slab form, reinforcing, and base prep",40000,21,Numerical,,,,
36,Flat work,1,Garage slab install review,,34,Numerical,,,,
36,Flat work,2,Driveway form and base prep,,21,Numerical,,,,
36,Flat work,3,Driveway install review,,21,Numerical,,,,
36,Flat work,4,Walkways install review,,21,Numerical,,,,
36,Flat work,5,"Stairs form, reinforcing, and base prep",,34,Numerical,,,,
36,Flat work,6,Stairs install review,,34,Numerical,,,,
36,Flat work,7,Code inspection,,13,Boolean,,,,
37,Garage Door,0,Installation review,5200,8,Numerical,,,,
39,Masonry,0,Stone veneers installation review,25500,34,Numerical,,,,
39,Masonry,1,Concrete block work installation review,,34,Numerical,,,,
39,Masonry,2,"Hearth, mantel, fireplace facing installation review",,34,Numerical,,,,
40,Painting - exterior/interior,0,Primer installation review #1,25000,8,Numerical,,,,
40,Painting - exterior/interior,1,Finish coat 1 installation review #1,,13,Numerical,,,,
40,Painting - exterior/interior,2,Finish coat 2 installation review #1,,21,Numerical,,,,
40,Painting - exterior/interior,3,Cabinet painting/finishing installation review #1,,21,Numerical,,,,
43,Ornamental metals,0,"Stair/deck railing, security door, gates installation review",10000,21,Numerical,,,,
44,Landscaping,0,Irrigation installation,65000,34,Numerical,,,,
44,Landscaping,1,Low voltage electrical installation,,21,Numerical,,,,
44,Landscaping,2,Hardscape installation,,34,Numerical,,,,
44,Landscaping,3,Softscape installation,,34,Numerical,,,,
44,Landscaping,4,Trim installation (water + electrical features),,21,Numerical,,,,
44,Landscaping,5,Irrigation water conservation inspection,,8,Boolean,,,,
47,Final,0,"Code inspections, Occupancy permit",4500,8,Boolean,,,,
47,Final,1,touch up,,13,Boolean,,,,
47,Final,2,Final cleaning,,13,Boolean,,,,
47,Final,3,Recycling sign off for deposit,,1,Boolean,,,,
47,Final,4,Retention,,3,Boolean,,,,
48,Deck,1,Lay out and dig for piers/ pour,35000,13,Numerical,,,,
48,Deck,2,"Set ledgers, post and girders",,13,Numerical,,,,
48,Deck,3,Frame for decking and railing and stairs ( if necessary ),,21,Numerical,,,,
48,Deck,4,"Install all decking, railing and trim where necessary",,34,Numerical,,,,
48,Deck,5,code inspection ( if needed ),,8,Boolean,,,,
,,,,,,,,,,
,,,,554300,,,,,,
