Template ID,,,,,,
Provider ID,,,,,,
Name,New Home,,,,,
Description,Standard template for new residential construction,,,,,
Tags,New; Whole House,,,,,
,,,,,,
,,,,,,
MSID,Milestone,CPID,Milestone Checkpoint,Original MS Estimate,POINTS,ASSESSMENT TYPE
0,Builder supervision,0,Recurring checkpoint every draw,3500,,Numerical
1,Contractor fee (profit & overhead),0,Recurring checkpoint every draw,11148,,Numerical
2,General and Admin,0,Down payment ,5500,,Boolean
2,General and Admin,1,Start-up or working capital draw,,,Boolean
2,General and Admin,2,Overall project contingency/safety,,,Boolean
2,General and Admin,3,Equipment rental and small tool purchases,,,Boolean
2,General and Admin,4,Debris removal and dump fees run 1,,,Boolean
2,General and Admin,5,Debris removal and dump fees run 2,,,Boolean
2,General and Admin,6,Debris removal and dump fees run 3,,,Boolean
2,General and Admin,7,Clean up labor,,,Boolean
2,General and Admin,8,"Confirm deposits (windows, doors, appli, etc.)",,,Boolean
2,General and Admin,9,"Storage containers, office trailer, Temp chemical toilets",,,Boolean
3,Project Documentation,0,Approved plans and survey of property ( if needed ),,,Boolean
3,Project Documentation,1,"Structural engineering, soils testing",,,Boolean
3,Project Documentation,2,"Flood, earthquake, and other insurance confirmation ( if needed)",,,Boolean
3,Project Documentation,3,Confirm building permit(s) and zoning approval,,,Boolean
4,Client Documentation,0,Approved window and door schedule,,,Boolean
4,Client Documentation,1,"Confirm appliances, fixtures, trim, paint colors",,,Boolean
5,Demolition,0,Pre demolition #1,4000,1,Boolean
5,Demolition,1,Disconnect and cap off of existing utilities #1,,8,Numerical
5,Demolition,2,Post demolition #1,,34,Numerical
5,Demolition,3,Unforseen findings #1,,1,Numerical
9,Framing,0,Framing materials on site 1st drop,2500,8,Boolean
9,Framing,5,First floor framing,,34,Numerical
9,Framing,6,Second floor framing,,34,Numerical
9,Framing,11,Exterior trim & siding,,34,Numerical
9,Framing,12,Miscellaneous,,8,Numerical
9,Framing,13,Code inspection - Framing,,13,Boolean
11,Plumbing,0,Plumbing Rough-in material on site drop 1,5000,8,Boolean
11,Plumbing,2,Underfloor/slab Plumbing Rough-in,,34,Numerical
11,Plumbing,3,Code inspection - Underfloor/slab Plumbing Rough-in,,13,Boolean
11,Plumbing,4,Plumbing Rough-in #1,,34,Numerical
11,Plumbing,5,"Confirm strapping, drilling, notching, nail plates #1",,21,Numerical
